Name,RA,Dec,SED_Slope,YSO_Class,LCType
J121235.24-630315.9,183.146991,-63.054538,0.8,ClassI,NV
J135319.58-621015.2,208.331529,-62.170701,-2.01,uncertain,NV
J192623.07+170739.2,291.596181,17.127554,-0.46,ClassII,Irregular
J095730.67-562827.7,149.377875,-56.474293,-0.88,ClassII,Curved
J155554.03-522834.3,238.975172,-52.47615,-0.64,ClassII,NV
J115723.38-630241.4,179.347626,-63.044914,-1.92,ClassIII,NV
J083838.48-410036.6,129.660348,-41.010202,-0.44,ClassII,NV
J155647.51-540853.6,239.197955,-54.148129,-1.57,ClassII,NV
J203805.51+421948.4,309.523036,42.3301,-1.21,ClassII,NV
J164722.59-441755.0,251.844226,-44.298633,-1.02,ClassII,Irregular
J090031.40-464246.0,135.130758,-46.712768,0.27,FS,NV
J181102.77-193824.3,272.761558,-19.640105,-1.26,ClassII,Curved
J184830.83-021603.0,282.128382,-2.267594,-1.93,ClassIII,Irregular
J160334.79-533147.1,240.894927,-53.529697,-1.86,ClassIII,Periodic
J202234.55+392846.2,305.644041,39.479534,-0.06,FS,Irregular
J085738.02-462558.4,134.408472,-46.432948,-0.41,ClassII,NV
J182541.82-130026.0,276.42428,-13.007217,0.6,ClassI,Irregular
J191641.68+123847.8,289.173817,12.646616,-0.87,ClassII,NV
J160547.35-522648.1,241.447242,-52.446576,-1.45,ClassII,Drop
J151412.75-580423.7,228.553038,-58.073185,0.84,ClassI,NV
J165435.83-431704.1,253.649351,-43.284533,-1.08,ClassII,NV
J202827.51+381139.5,307.11474,38.194226,-0.9,ClassII,NV
J141252.61-611951.3,213.219336,-61.330795,-0.28,FS,NV
J164638.31-463826.9,251.659648,-46.640925,-0.91,ClassII,Irregular
J192515.98+155744.3,291.316873,15.962432,0.08,FS,NV
J105638.67-605424.7,164.161131,-60.906856,-0.77,ClassII,NV
J221217.87+594827.3,333.074395,59.807387,-0.64,ClassII,NV
J091600.29-493551.9,139.001222,-49.597802,-0.79,ClassII,Irregular
J084646.81-435313.9,131.694944,-43.887283,-0.39,ClassII,Linear
J202916.58+393316.0,307.31913,39.554484,-0.89,ClassII,NV
J145245.73-601154.9,223.19028,-60.198449,-0.79,ClassII,NV
J142059.22-612632.4,215.246896,-61.44224,-1.17,ClassII,NV
J175211.01-285448.8,268.046011,-28.913514,-1.5,ClassII,NV
J204013.89+415841.0,310.057971,41.977984,-0.55,ClassII,NV
J102554.93-583742.9,156.479477,-58.628508,0.31,ClassI,NV
J174751.58-323706.4,266.964961,-32.618461,-0.98,ClassII,NV
J112129.86-603255.9,170.37484,-60.548629,-1.43,ClassII,NV
J105947.96-601625.1,164.949676,-60.273475,0.71,ClassI,NV
J194455.85+240453.7,296.232677,24.081549,0.03,FS,NV
J191307.99+103112.1,288.283607,10.520098,-0.49,ClassII,NV
J203547.52+385224.9,308.947926,38.873617,-1.82,ClassIII,Irregular
J204345.15+424604.3,310.938296,42.767804,-0.45,ClassII,NV
J130321.84-625855.7,195.841276,-62.982116,-1.37,ClassII,NV
J094812.28-545802.5,147.050873,-54.967391,-0.96,ClassII,NV
