Source,RA,Dec,Paper,LCType,YSO_Class
NEOWISE_NS_327,274.826291,-16.291281,Neha_Sharma,NV,ClassII
NEOWISE_NS_328,167.951539,-61.184554,Neha_Sharma,NV,ClassII
NEOWISE_NS_329,259.967582,-37.157842,Neha_Sharma,NV,ClassI
NEOWISE_NS_330,273.509147,-19.058329,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_331,304.991346,41.271365,Neha_Sharma,NV,ClassI
NEOWISE_NS_332,285.478544,6.173019,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_333,295.160485,22.860948,Neha_Sharma,NV,ClassII
NEOWISE_NS_334,276.437056,-12.458608,Neha_Sharma,NV,ClassII
NEOWISE_NS_335,343.717181,59.889291,Neha_Sharma,NV,ClassII
NEOWISE_NS_336,154.919832,-58.218207,Neha_Sharma,NV,ClassII
NEOWISE_NS_337,284.760822,2.4038,Neha_Sharma,NV,ClassII
NEOWISE_NS_338,296.73456,23.820367,Neha_Sharma,NV,ClassII
NEOWISE_NS_339,287.630598,10.328345,Neha_Sharma,Irregular,FS
NEOWISE_NS_340,259.309718,-39.561335,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_341,157.833156,-58.324727,Neha_Sharma,NV,ClassII
NEOWISE_NS_342,246.768956,-49.272489,Neha_Sharma,NV,ClassII
NEOWISE_NS_343,217.915941,-61.194528,Neha_Sharma,NV,ClassI
NEOWISE_NS_344,223.667312,-59.489916,Neha_Sharma,NV,FS
NEOWISE_NS_345,132.54568,-41.703174,Neha_Sharma,Burst,ClassII
NEOWISE_NS_346,277.536643,-11.006506,Neha_Sharma,NV,ClassII
