Name,RA,Dec,SED_Slope,YSO_Class,LCType
J094809.45-545752.0,147.039289,-54.964623,-1.82,ClassIII,Irregular
J180634.75-233752.2,271.644838,-23.63114,-1.52,ClassII,Irregular
J090242.65-474713.1,135.677674,-47.787023,-1.77,ClassIII,Drop
J120510.44-613003.0,181.293536,-61.500872,-1.49,ClassII,Burst
J182722.24-101815.0,276.842799,-10.304166,-1.47,ClassII,Irregular
J182005.74-113740.9,275.024094,-11.628082,-1.14,ClassII,Irregular
J085513.82-462357.9,133.807649,-46.39941,0.31,ClassI,Irregular
J193641.62+200855.6,294.173574,20.148707,-0.12,FS,Irregular
J203810.11+421657.1,309.542179,42.282564,-0.91,ClassII,Irregular
J180724.79-224319.7,271.853331,-22.722236,-0.8,ClassII,Irregular
J194449.21+240359.5,296.205141,24.066489,-0.51,ClassII,Irregular
J203215.81+422109.2,308.065984,42.352653,-0.47,ClassII,Irregular
J100846.53-572350.4,152.193845,-57.397366,-1.67,ClassIII,Linear
J085031.75-414240.8,132.632252,-41.71148,-0.48,ClassII,Irregular
J191420.79+094733.6,288.586717,9.792659,-0.41,ClassII,Irregular
